symbol,cap_type,sector
ABB,Large,Industrials
ACC,Large,Cement
ADANIGREEN,Large,Energy
ADANIPOWER,Large,Energy
ALKEM,Large,Pharma
AMBUJACEM,Large,Cement
ANGELONE,Large,Finance
ASTRAL,Large,Consumer
AUROPHARMA,Large,Pharma
BANDHANBNK,Large,Banking
BANKBARODA,Large,Banking
BEL,Large,Industrials
BERGEPAINT,Large,Consumer
BIOCON,Large,Pharma
BOSCHLTD,Large,Auto
CANBK,Large,Banking
CHOLAFIN,Large,Finance
COLPAL,Large,FMCG
CONCOR,Large,Industrials
COROMANDEL,Large,Agro
CROMPTON,Large,Consumer
DABUR,Large,FMCG
DEEPAKFERT,Large,Chemicals
DLF,Large,Realty
DMART,Large,Consumer
FEDERALBNK,Large,Banking
GAIL,Large,Energy
GLENMARK,Large,Pharma
GMRINFRA,Large,Industrials
GODREJCP,Large,FMCG
GODREJPROP,Large,Realty
GRANULES,Large,Pharma
GSPL,Large,Energy
HAVELLS,Large,Consumer
HDFCAMC,Large,Finance
HINDPETRO,Large,Energy
ICICIGI,Large,Finance
ICICIPRULI,Large,Finance
IDFCFIRSTB,Large,Banking
INDHOTEL,Large,Consumer
INDUSTOWER,Large,Telecom
IOC,Large,Energy
IRCTC,Large,Consumer
JINDALSTEL,Large,Metals
JKCEMENT,Large,Cement
JUBLFOOD,Large,Consumer
KALYANKJIL,Large,Consumer
L&TFH,Large,Finance
LALPATHLAB,Large,Healthcare
LAURUSLABS,Large,Pharma
LICHSGFIN,Large,Finance
LUPIN,Large,Pharma
M&MFIN,Large,Finance
MANAPPURAM,Large,Finance
MARICO,Large,FMCG
MAZDOCK,Large,Industrials
METROPOLIS,Large,Healthcare
MFSL,Large,Finance
MOTHERSON,Large,Auto
MPHASIS,Large,IT
MRF,Large,Auto
MUTHOOTFIN,Large,Finance
NATIONALUM,Large,Metals
NAUKRI,Large,IT
NMDC,Large,Metals
OBEROIRLTY,Large,Realty
OFSS,Large,IT
PAGEIND,Large,Consumer
PERSISTENT,Large,IT
PETRONET,Large,Energy
PIDILITIND,Large,Chemicals
PIIND,Large,Agro
PNB,Large,Banking
POLYCAB,Large,Industrials
RECLTD,Large,Finance
ROUTE,Large,Finance
SAIL,Large,Metals
SBICARD,Large,Finance
SIEMENS,Large,Industrials
SRF,Large,Chemicals
SYNGENE,Large,Healthcare
TATACHEM,Large,Chemicals
TATAELXSI,Large,IT
TORNTPHARM,Large,Pharma
TRENT,Large,Consumer
TVSMOTOR,Large,Auto
UBL,Large,FMCG
UPL,Large,Agro
VEDL,Large,Metals
VOLTAS,Large,Consumer
WHIRLPOOL,Large,Consumer
YESBANK,Large,Banking
ZOMATO,Large,Consumer
NUVOCO,Large,Cement
RAMCOCEM,Large,Cement
SUPREMEIND,Large,Consumer
THERMAX,Large,Industrials
TORNTPOWER,Large,Energy
UNIONBANK,Large,Banking
INDIGO,Large,Consumer
ZEEL,Large,Media
PEL,Large,Finance
BALKRISIND,Large,Auto
BATAINDIA,Large,Consumer
CUMMINSIND,Large,Industrials
DELTACORP,Large,Consumer
EXIDEIND,Large,Auto
ESCORTS,Large,Auto
GLAXO,Large,Pharma
GSFC,Large,Chemicals
HONAUT,Large,Industrials
IIFL,Large,Finance
IRFC,Large,Finance
JYOTHYLAB,Large,FMCG
KANSAINER,Large,Consumer
KPITTECH,Large,IT
LICHSGFIN,Large,Finance
MINDTREE,Large,IT
NHPC,Large,Energy
NLCINDIA,Large,Energy
PFIZER,Large,Pharma
PHOENIXLTD,Large,Realty
PNBHOUSING,Large,Finance
PRESTIGE,Large,Realty
RADICO,Large,FMCG
RAJESHEXPO,Large,Consumer
RKFORGE,Large,Auto
SCHAEFFLER,Large,Auto
SKFINDIA,Large,Auto
STLTECH,Large,IT
SUMICHEM,Large,Chemicals
SUNDRMFAST,Large,Auto
TANLA,Large,IT
TEAMLEASE,Large,Consumer
TIINDIA,Large,Auto
TIMKEN,Large,Auto
TRIDENT,Large,Textiles
VSTIND,Large,FMCG
WELCORP,Large,Metals
WOCKPHARMA,Large,Pharma
